Raw MAF FIR
-0.967765 -0.962275 -0.966850
-0.957334 -0.960262 -0.964227
-0.964898 -0.959225 -0.961543
-0.965996 -0.963434 -0.960262
-0.955809 -0.962336 -0.960567
-0.962458 -0.961299 -0.961726
-0.963373 -0.962458 -0.962397
-0.955382 -0.960567 -0.962214
-0.962153 -0.959835 -0.961726
-0.965325 -0.961726 -0.961177
-0.969229 -0.963068 -0.960689
-0.959591 -0.962336 -0.960811
-0.971120 -0.965447 -0.961665
-0.960933 -0.965203 -0.963007
-0.963617 -0.964898 -0.964349
-0.960140 -0.963068 -0.965020
-0.965630 -0.964288 -0.964959
-0.960140 -0.962092 -0.964288
-0.945317 -0.958920 -0.963434
-0.965813 -0.959408 -0.962580
-0.969229 -0.961177 -0.961299
-0.964044 -0.960872 -0.959835
-0.964898 -0.961848 -0.959225
-0.969778 -0.966728 -0.960201
-0.971486 -0.967887 -0.962458
-0.970205 -0.968070 -0.964837
-0.957761 -0.966789 -0.966484
-0.964898 -0.966789 -0.967582
-0.967277 -0.966301 -0.968009
-0.959652 -0.963922 -0.967399
