ZAccle
Raw MAF FIR
-1.264042 -1.053592 -0.780190
-1.285514 -1.157780 -0.896273
-1.282708 -1.215730 -1.006439
-1.271362 -1.270996 -1.108187
-1.277584 -1.276242 -1.191879
-1.272704 -1.277950 -1.245376
-1.369267 -1.294725 -1.270081
-1.155523 -1.269288 -1.277523
-0.853085 -1.185596 -1.280085
-0.814228 -1.092937 -1.273680
-0.611586 -0.960689 -1.236958
-0.559065 -0.798673 -1.151497
-0.479216 -0.663436 -1.020591
-0.457378 -0.584258 -0.871080
